"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ERCC5",79.1600354462797,-0.428337633078182,0.0887689877090764,-4.82530717238748,1.39787653537458e-06,5.36821375808452e-06
"ERCC6",586.856327863019,0.0197098583022991,0.0470975980454101,0.418489670817086,0.675589137042022,0.733246980540272
"ERCC6L",43.4733078589698,0.398904205358955,0.137894186298151,2.89282830602049,0.00381789938403709,0.00792244659953833
"ERCC6L2",961.692965660402,-0.378034863066483,0.0501946508609343,-7.53137747912301,5.02078094358362e-14,4.65490827888918e-13
"ERCC8",117.578446372929,-0.186251198716092,0.0775599522125192,-2.4013836187747,0.0163332036630477,0.0292257300048868
"ERCC8-AS1",4.88784200945925,-0.241631815673206,0.249299927058717,-0.969241421463774,0.332424748733949,0.407979004942981
"EREG",107.52366603977,0.734491970212007,0.275895622173665,2.66220958645612,0.00776295254279792,0.0150054088532795
"ERF",61.1642940302803,-0.370126354165339,0.129003549525327,-2.86911759813765,0.004116187275077,0.00847992107082638
"ERFE",9.67910287578417,1.5380781002629,0.272322338976074,5.64800561733585,1.62319874899159e-08,8.10377671708322e-08
"ERFL",2.57673933800044,-0.772632693788477,0.386883897146617,-1.99706604355175,0.045818009068631,0.0728902437957629
"ERG",871.868541306313,-1.10299923828258,0.0957488575878109,-11.5197117341167,1.04961555217872e-30,5.00556854671375e-29
"ERG28",375.680540393329,0.253050395958791,0.0906655390486425,2.79103172621108,0.00525403220043257,0.0105521733967675
"ERGIC1",728.322774200077,0.441368168639606,0.0714605850345723,6.17638616345044,6.55854585166446e-10,3.88665419749602e-09
"ERGIC2",743.205264875274,0.125369297077525,0.0617116432984745,2.03153392741729,0.0422008615007206,0.0677004531281279
"ERGIC3",669.634566028332,0.65845470397086,0.070456896803067,9.34549680510763,9.14590834715034e-21,1.68837748905712e-19
"ERH",379.276275720296,0.452615516965793,0.0683190554369028,6.62502597659322,3.47187119075583e-11,2.39042303782495e-10
"ERI1",262.145339632491,-0.0175388923487,0.0683669129116314,-0.256540651051045,0.797533395378717,0.837235079401598
"ERI2",213.532606488849,0.359528959032717,0.0731349111441877,4.91596904143214,8.83443590386772e-07,3.50138302947153e-06
"ERI3",111.090449944872,0.0315838653679481,0.092738054471966,0.340570713368757,0.733426780063124,0.783807909297778
"ERI3-IT1",4.59710496529821,-0.331372813847471,0.276166840249319,-1.1999008047031,0.230177867423079,0.297914467344123
"ERICD",8.60811430414828,-0.556255562852037,0.22378798468281,-2.48563641001753,0.0129320014791608,0.023740935663026
"ERICH1",227.884129164185,-0.369743293867275,0.0904270526403045,-4.08885707397783,4.33503842283761e-05,0.00013175302656351
"ERICH2",37.9736361727055,0.284205998346151,0.154201922080763,1.84307688588537,0.0653177855717397,0.0995662349055161
"ERICH3",212.462859738697,-1.30890342291187,0.318463243837967,-4.11006120247219,3.95554264210876e-05,0.000121038443649178
"ERICH3-AS1",3.71792104952541,-0.972375921071357,0.500507104608862,-1.94278145528274,0.0520425694885223,0.081526189313081
"ERICH4",5.73111211443022,-2.24043877285451,0.297636920968882,-7.52742222154875,5.1751816052757e-14,4.79474614692987e-13
"ERICH5",17.0888969892775,0.870271773364486,0.341779569247774,2.54629548302104,0.0108872987350661,0.0203429385967759
"ERICH6",2.00859764909306,-0.682591872858946,0.355842920377506,-1.91823929540259,0.055080675730222,0.085673875605535
"ERICH6-AS1",26.3471571989917,-0.124317212997298,0.165549468947138,-0.750936948260428,0.452690602673508,0.528235564114385
"ERICH6B",1.837951368754,-0.763590929326919,0.323859336283647,-2.35778575380683,0.0183842998611129,0.0324757399677062
"ERLEC1",1169.39050653336,0.697401339009513,0.0661972757540047,10.5351969709618,5.94586714348895e-26,1.81333415308117e-24
"ERLIN1",485.869669966004,0.253137211363928,0.0676563023492929,3.74151708819442,0.000182912737734341,0.000493664801508643
"ERLIN2",584.299465659147,0.298726018246408,0.0650956677735225,4.58903070609431,4.45308928489188e-06,1.58729682301972e-05
"ERMAP",137.036175906905,-0.147683369393999,0.0708460271340914,-2.0845681171998,0.0371085210755163,0.0604785177635704
"ERMARD",217.76269777437,0.0534562518248415,0.0757327806487444,0.705853546732642,0.480279218406496,0.554158105096342
"ERMN",19.5681367893969,-0.378025052913533,0.177608390258852,-2.12841889036091,0.033302368291935,0.0549473074209064
"ERMP1",483.356418527015,-0.501666110620727,0.0659711558090796,-7.60432501853609,2.86394674030443e-14,2.72715006729283e-13
"ERN1",570.666902734823,0.150804957010213,0.0836880738557506,1.8019886234943,0.0715471954756097,0.107737924215826
"ERN2",35.0649920813346,2.87774209216803,0.365452643456568,7.8744596425666,3.42218645268912e-15,3.59409621476016e-14
"ERO1A",1627.46969079185,1.24948174082734,0.100002982045069,12.4944448182978,8.00531738466766e-36,5.94511941956514e-34
"ERO1B",409.600598694476,0.436879238074641,0.0976915176530374,4.47202836612967,7.74811465757055e-06,2.66324902126786e-05
"ERP27",179.412913364596,0.48290270224453,0.1382928546233,3.49188469324698,0.000479625249512773,0.00119664408721831
"ERP29",803.051690220287,0.812627044677918,0.0838999908057873,9.68566309570875,3.46949722024235e-22,7.31652788077987e-21
"ERP44",818.086399410561,-0.00447622935247316,0.0500998944738657,-0.0893460834495002,0.92880687118976,0.944107454551748
"ERRFI1",2084.90362809099,0.445826250571319,0.124302632147458,3.58661954995807,0.000334992519542047,0.00085914689590107
"ERV3-1",379.574154793256,0.927803191468427,0.122983183330359,7.54414682027012,4.55258021728931e-14,4.23697723921575e-13
"ERVE-1",23.388805493691,-0.197462031037557,0.182020574652891,-1.08483357672127,0.277995371339443,0.350115340809226
"ERVFRD-1",26.8016709100941,-0.942190408518631,0.168320667644796,-5.59759191608555,2.17349623840866e-08,1.06776066679339e-07
"ERVFRD-3",3.36509460788365,0.102904509707688,0.305989699482161,0.336300567900939,0.73664422171999,0.786411289919881
"ERVH48-1",10.8594470247404,-0.856080450210022,0.237617053140768,-3.60277361786347,0.000314839710528469,0.000812243595110395
"ERVK13-1",408.948963811915,-0.395366513744933,0.11035691898735,-3.582616453711,0.000340169887713399,0.000871429679873893
"ERVK3-1",92.1016164815428,-0.259314255711388,0.106993066556404,-2.42365476621499,0.015365204601493,0.0276632448028607
"ERVK9-11",8.06642916700399,-0.690318934827018,0.221453119123842,-3.11722380591522,0.00182562920492608,0.00406088057121962
"ERVMER34-1",28.6262429267584,-0.0271567749708152,0.17591559722936,-0.154373889515936,0.877314940002261,0.902930878020523
"ERVMER61-1",4.42166932727488,1.3924561973729,0.357803645819534,3.89167693969003,9.95537472579368e-05,0.000283270695341921
"ERVW-1",26.1942409174396,-0.642138167661237,0.178273451161952,-3.60198427458439,0.000315797471758192,0.000814282623088134
"ESAM",466.30005675774,-0.783061355661546,0.0995111287773061,-7.86908324006598,3.57249424275022e-15,3.74521612675675e-14
"ESCO1",580.199906106402,-0.0921684472807357,0.0621434568996772,-1.48315610168791,0.13803294136099,0.191283862426373
"ESCO2",32.5801832836396,1.41848038225179,0.211978155724049,6.69163469889958,2.20691226567037e-11,1.55883207613396e-10
"ESD",890.331999140275,-0.116973227102514,0.0642547157446914,-1.82046135831172,0.0686887757187353,0.103975447753073
"ESF1",382.17562320193,-0.0741164003197129,0.0607466108938421,-1.22009111667539,0.222430335730665,0.289259536543028
"ESM1",120.744617673201,-0.281090696281037,0.176533569836777,-1.59227900133064,0.111322029021492,0.158660256813227
"ESPL1",22.1257872624619,0.865561282080226,0.214319526783176,4.0386487179766,5.37600044351837e-05,0.000161075812487966
"ESPN",7.56213738005798,1.00435358516353,0.323654871625532,3.10316226701375,0.00191464629293523,0.00423982296704155
"ESPNL",3.11815052369802,1.07117396771774,0.363079444941193,2.95024679210699,0.00317520189215089,0.00670220889739754
"ESR1",137.314252018792,-0.588417686440577,0.119544461696568,-4.92216601329569,8.55915569777465e-07,3.40151849394405e-06
"ESR2",68.0782888005837,-0.687162587676571,0.142217065651347,-4.83178713137838,1.35312889880091e-06,5.21489766808442e-06
"ESRP1",799.252096361989,0.956786669586904,0.0926922059754514,10.3221911650296,5.59319045253201e-25,1.54586038397348e-23
"ESRP2",302.90299672782,0.360484134035075,0.095779118435571,3.76370277700527,0.000167415853615866,0.000455759640297795
"ESRRA",64.7160439665764,0.144021878761893,0.13387639671049,1.07578245531468,0.282024560582132,0.35447090242238
"ESRRB",2.6351569593938,-0.825033720001603,0.386021711279648,-2.13727284215866,0.0325758064051577,0.0538917064811774
"ESRRG",82.3855305674929,0.632843207170348,0.187292712333558,3.37889926033688,0.00072776670918798,0.00175093555142695
"ESS2",42.0062075135353,0.216343977698713,0.129801221980928,1.66673298137749,0.0955675116793357,0.138940642384712
"ESYT1",639.521464304415,-0.17140753687252,0.0721067410932273,-2.37713609398747,0.0174476494177333,0.0310107238235165
"ESYT2",2271.47679031012,0.0242380274436016,0.0497139496448765,0.487549824882995,0.625868742838211,0.68912382119727
"ESYT3",645.656278370559,-0.492184561245534,0.120047601817553,-4.09991164999325,4.13307892181294e-05,0.000126061282696241
"ETAA1",481.139668585129,0.291165076927136,0.0721602250328256,4.03498016801757,5.46069096966195e-05,0.000163361753424102
"ETDC",6.61176560381497,-0.198144728122285,0.233276153596905,-0.849399842491719,0.395658840781062,0.472395128944
"ETF1",1439.26833337312,-0.345748376214513,0.0482174506682787,-7.17060672894459,7.46661092537889e-13,6.09909058125128e-12
"ETF1P1",5.16823444112495,0.134979665755758,0.209746373358131,0.643537542960458,0.519875362217069,0.592623909504464
"ETF1P2",34.6296693225361,-0.770283881101376,0.134809374239222,-5.71387476166526,1.10432284755084e-08,5.62786216668741e-08
"ETFA",416.703978761072,0.332190146794308,0.0542958518564808,6.11814964561897,9.46681467905059e-10,5.50285706478332e-09
"ETFB",277.665633616972,0.308260719560157,0.0755841368794691,4.07837851018564,4.5350890197979e-05,0.000137432362300718
"ETFBKMT",79.2896081692518,-0.101508124106193,0.0983997524362592,-1.03158922246219,0.302264591369425,0.375671522535794
"ETFDH",252.418427868253,-0.0283411632278012,0.062221340481897,-0.455489435108634,0.648757166501622,0.709108930473985
"ETFRF1",223.707766825779,-0.0756227397623227,0.0753760807660318,-1.00327237757368,0.315729459846095,0.390511505836005
"ETHE1",69.5378145531654,0.121313583845892,0.100987477168369,1.20127353655577,0.229645112244578,0.297317226898383
"ETNK1",2328.64994379751,0.321860928305769,0.0748826024761408,4.29820702890662,1.72185299144287e-05,5.6087055143138e-05
"ETNK2",23.2838451364204,0.857759823422144,0.148890433786629,5.76101366358685,8.36102704896686e-09,4.32745053114288e-08
"ETS1",2385.22669724956,-0.653250910902411,0.0732180072268375,-8.92199795712231,4.57950679030026e-19,7.14363897283289e-18
"ETS1-AS1",7.63998237979152,-1.90615335704983,0.296027674052861,-6.43910527334499,1.20179826754982e-10,7.76010713201529e-10
"ETS2",2253.25732538024,-0.556213036659603,0.0836931488886483,-6.64586102979147,3.01449583722862e-11,2.08981176972338e-10
"ETV1",1672.34722299632,-0.34004867268805,0.089644741740254,-3.79329189963359,0.000148663224745777,0.000409020067631057
"ETV2",5.14865679280427,0.619016357419401,0.218760957891121,2.8296473163529,0.00465993412650263,0.00945791637107828
"ETV3",795.41214248304,-0.161488461599646,0.0507617398913613,-3.18130272810306,0.00146614336497042,0.00332692118255533
"ETV4",34.9314355417977,2.27607654933664,0.213046988013673,10.6834486164647,1.21666174371744e-26,3.93675051575801e-25
"ETV5",633.118399667633,-0.600520480925636,0.0820016525578677,-7.32327291211424,2.41994945304155e-13,2.08898683041913e-12
"ETV5-AS1",26.938713482502,-1.48096789748719,0.184568077766981,-8.02396554921552,1.0238502756942e-15,1.13275565376842e-14
"ETV6",724.279263309854,0.186337566623515,0.0640191783299142,2.91065226834449,0.00360675175613383,0.00751921778845486
"ETV7",37.6097402824751,0.573061304403923,0.148378373885628,3.86216191347162,0.000112388037302222,0.000316525837759591
"EVA1A",168.608947276338,0.251870163345994,0.0999234542430632,2.52063106959174,0.0117144601656329,0.0217243763117398
"EVA1C",234.589310277973,0.271798287445361,0.105306735634883,2.5810152200305,0.00985102386013995,0.0185803271540678
"EVC",200.423318994744,-0.321665270784711,0.0969477832741482,-3.31792290572656,0.000906895119228286,0.0021399176125634
"EVC2",103.595356320715,-0.151534930501953,0.109808919688224,-1.37998744484692,0.16759051055213,0.226354604145239
